Michael Stich,Johan Kriek,0.64,Gael Monfils,0.57,Petr Korda,0.53,[]
Marc Rosset,Jiri Novak,0.79,Andrei Chesnokov,0.67,Phil Dent,0.58,[]
Charles Owens,Denis Kudla,0.89,Somdev Devvarman,0.85,Russell Simpson,0.74,[]
Nicolas Pereira,Radomir Vasek,0.88,Martin Laurendeau,0.87,Torben Ulrich,0.76,[]
John Ross,Kyle Edmund,0.99,Craig A Miller,0.99,Magnus Tideman,0.98,[]
Florian Mayer,Thomaz Bellucci,0.96,Radek Stepanek,0.89,Juan Ignacio Chela,0.87,[]
Davide Sanguinetti,Tom Gullikson,0.94,Bud Schultz,0.92,Yen Hsun Lu,0.73,[]
Jun Kuki,Ryan Sweeting,0.94,Harald Elschenbroich,0.92,Joao Souza,0.88,[]
Aljaz Bedene,Sergio Roitman,0.61,Georges Goven,0.6,Jim Delaney,0.57,"[78.0, 129.0, 151.0]"
Chris Guccione,Leander Paes,1.0,Simon Youl,0.99,Mike Machette,0.99,[]
Vitas Gerulaitis,Harold Solomon,0.8,Jo Wilfried Tsonga,0.78,David Nalbandian,0.77,[]
Igor Kunitsyn,Cecil Mamiit,0.98,Alex Obrien,0.76,Andre Sa,0.71,[]
Julien Benneteau,Jurgen Melzer,0.94,Daniel Vacek,0.86,Andrea Gaudenzi,0.82,[]
Jozsef Krocsko,Martin Stringari,0.99,Woody Blocher,0.98,Michael Sell,0.97,[]
Udo Riglewski,Paul Vojtischek,0.88,Diego Nargiso,0.79,Florin Segarceanu,0.72,[]
Andrea Arnaboldi,Ze Zhang,1.0,Miguel Mir,1.0,Mark Draper,1.0,[]
Tore Meinecke,Ismail El Shafei,0.85,Evgeny Korolev,0.82,Olivier Delaitre,0.8,[]
Juan Giner,Tomas Anzari,1.0,Ron Hightower,1.0,Massimo Valeri,1.0,[]
Dominique Bedel,Hendrik Dreekmann,0.87,Mikael Tillstrom,0.85,Patrice Dominguez,0.74,[]
Mats Wilander,Ulf Stenlund,0.77,Marin Cilic,0.72,Tom Okker,0.69,[]
Ion Tiriac,Mike Leach,0.88,Nicklas Kulti,0.72,Daniele Bracciali,0.71,[]
Michael Kohlmann,Jan Norback,0.88,Ivan Miranda,0.85,Ota Fukarek,0.84,[]
Tony Mmoh,Rayno Seegers,1.0,Pavel Snobel,1.0,Michael Yani,1.0,[]
Cecil Mamiit,Joaquin Loyo Mayo,0.79,Tatsuma Ito,0.75,Sebastien Lareau,0.74,[]
Libor Nemecek,Wade Mcguire,1.0,Tsung Hua Yang,1.0,Roger Knapp,1.0,[]
Antonio Veic,Marko Ostoja,0.91,Tommy Ho,0.9,Paul Wekesa,0.82,[]
Felix Mantilla,Mario Martinez,0.63,Libor Pimek,0.48,Kim Warwick,0.37,[]
